Survey.sheet;Clove.benefit.score;Region;Gender;Age;edu.level;Ethnic.group;Migration.Experience;Farms.Cloves;encountered.binary;ID.vis.Aye;ID.nom;Knowledge.non.benefit.score.max.6;DK.score;Diet.Insects;Knowledge.signs;Remoteness;village.size;Farms.Paddy.Rice;Farms.Tavy.Rice;Extracts.Medical.plants;ID.vis.Indri;ID.vis.Microcebus;Aye.aye.protected
128;0;1;0;21-30;Secondary;2;1;1;0;0;0;2;3;0;0;1;5;1;0;0;0;0;-1
129;0;1;0;41-50;None;1;0;1;0;0;0;3;6;0;1;1;5;1;0;1;0;0;1
130;1;1;1;61-70;None;1;0;1;1;0;1;4;2;0;0;1;5;1;1;1;1;0;1
131;0;1;0;21-30;Primary;1;0;1;0;0;0;3;3;0;0;1;5;1;1;1;0;1;0
132;1;1;1;21-30;Primary;1;0;1;1;1;1;6;1;1;0;1;5;1;1;1;1;1;-1
133;0;1;0;41-50;None;1;0;0;0;0;0;0;14;0;0;1;5;0;0;0;0;0;0
134;1;1;0;41-50;Primary;1;1;1;0;0;1;0;3;0;0;1;5;0;1;0;1;1;1
135;0;1;1;21-30;Primary;1;0;1;0;0;1;2;5;0;1;1;5;1;1;0;0;1;1
136;1;1;1;51-60;Primary;1;0;1;0;0;1;5;2;1;0;1;5;1;0;1;1;1;1
137;1;1;1;21-30;None;2;1;1;0;1;1;5;1;1;1;1;5;1;1;0;0;1;1
138;0;1;1;21-30;Secondary;1;0;1;0;0;0;3;4;0;0;1;5;1;1;1;0;1;1
139;1;1;1;41-50;Primary;3;0;1;1;0;1;6;2;1;0;1;5;1;1;0;1;1;1
140;0;1;0;14-20;Primary;2;0;1;0;0;0;3;3;0;0;1;5;0;1;1;0;0;1
141;0;1;0;31-40;Primary;1;1;0;0;0;0;0;11;0;0;1;5;0;0;0;0;0;1
142;1;1;1;51-60;Secondary;1;0;1;1;0;1;5;0;1;1;1;5;1;1;0;0;1;-1
143;0;1;0;21-30;Secondary;2;1;1;0;0;0;5;3;1;1;1;5;1;1;1;1;0;0
144;1;1;1;21-30;Secondary;1;0;1;0;0;1;4;2;1;1;1;5;1;1;1;0;1;0
145;0;1;0;21-30;Primary;1;0;1;0;0;0;3;3;0;0;1;5;1;0;1;1;0;0
146;1;1;1;14-20;Primary;1;0;1;0;0;0;3;3;1;0;1;5;1;1;1;0;1;1
147;1;1;1;14-20;None;1;0;1;0;0;1;6;0;1;1;1;5;1;1;1;1;1;1
148;1;1;0;21-30;Primary;1;0;1;0;0;1;5;2;0;0;1;5;1;1;1;0;1;0
149;1;1;1;14-20;Primary;1;0;1;0;1;0;3;0;1;0;1;5;1;1;1;0;1;1
150;1;1;1;21-30;Secondary;1;0;1;1;1;1;5;1;1;0;1;5;1;1;1;0;1;1
151;0;1;0;51-60;Secondary;1;0;0;0;0;1;0;9;0;0;1;5;0;0;1;0;1;0
152;0;1;0;14-20;Primary;1;1;1;0;0;1;2;7;0;0;1;5;1;1;1;1;1;0
153;0;1;0;21-30;Primary;1;0;1;0;0;0;1;1;0;1;1;5;1;0;1;1;0;0
154;1;1;0;31-40;None;1;0;1;1;0;1;4;0;1;1;1;5;0;1;1;1;1;1
155;0;2;1;31-40;Secondary;1;0;1;1;0;1;3;6;0;0;2;3;0;1;1;1;1;1
156;0;2;0;31-40;None;2;1;1;1;0;1;4;2;1;0;2;3;1;1;1;0;0;0
157;1;2;1;51-60;None;1;0;1;0;0;0;0;11;0;0;2;3;1;0;1;1;1;1
158;0;2;1;31-40;Primary;3;1;1;0;0;0;4;2;0;0;2;3;0;1;1;0;1;1
159;0;2;1;21-30;High;1;0;1;0;0;0;2;5;0;0;2;3;0;1;0;0;0;1
160;0;2;0;21-30;Secondary;1;1;1;1;0;1;2;2;0;0;2;3;0;1;1;1;0;1
161;0;2;1;14-20;Primary;1;0;1;0;0;0;2;3;1;1;2;3;0;1;0;0;0;1
162;0;2;1;41-50;Primary;2;1;1;0;0;1;1;5;0;1;2;3;0;1;0;1;0;1
163;0;2;0;21-30;Primary;1;1;1;0;0;1;0;9;0;0;2;3;1;1;0;1;1;1
164;0;2;0;14-20;Secondary;1;0;1;0;0;1;1;11;0;0;2;3;1;1;1;0;0;1
165;0;2;0;21-30;Secondary;2;1;1;0;0;1;2;0;0;0;2;3;1;1;1;1;0;1
